,Brand,Model,Varient,Manufacture Year,Driven Kilometers,Fuel,Number of Owner,Body Type,Location,Price
9598,Maruti,Vitara Brezza,VDi,2016,"28,502 kms",Diesel,First Owner,SUV,Delhi NCR,711000.0
9599,Mercedes-Benz,GLE Class,250d,2017,"48,000 kms",Diesel,First Owner,SUV,Delhi NCR,4700000.0
9600,Ford,Endeavour,2.2 Titanium AT 4X2,2016,"55,000 kms",Diesel,First Owner,SUV,Delhi NCR,2475000.0
9601,Toyota,Fortuner,4x2 4 Speed AT,2012,"1,01,000 kms",Diesel,First Owner,SUV,Delhi NCR,1199000.0
9602,Ford,Ecosport,1.5 Petrol Titanium Plus AT,2015,"36,002 kms",Petrol,First Owner,SUV,Delhi NCR,711000.0
9603,Ford,Ecosport,1.5 Ti VCT MT Titanium BSIV,2016,"31,000 kms",Petrol,First Owner,SUV,Delhi NCR,675000.0
9604,Audi,Q3,2.0 TDI,2015,"82,000 kms",Diesel,First Owner,SUV,Delhi NCR,1775000.0
9605,Maruti,Vitara Brezza,ZDi,2019,"47,280 kms",Diesel,First Owner,SUV,Delhi NCR,875000.0
9606,Hyundai,Creta,1.6 VTVT E Plus,2018,"46,000 kms",Petrol,First Owner,SUV,Delhi NCR,940000.0
9607,Hyundai,Creta,1.6 CRDi SX,2016,"70,000 kms",Diesel,Second Owner,SUV,Delhi NCR,890000.0
9608,Audi,Q5,2.0 TDI Premium Plus,2013,"80,000 kms",Diesel,First Owner,SUV,Delhi NCR,1575000.0
9609,Toyota,Fortuner,2.8 2WD MT,2017,"27,000 kms",Diesel,First Owner,SUV,Delhi NCR,2775000.0
9610,Kia,Seltos,HTX IVT G,2020,"12,000 kms",Petrol,First Owner,SUV,Delhi NCR,1625000.0
9611,Maruti,Vitara Brezza,ZDi,2016,"86,000 kms",Diesel,Second Owner,SUV,Delhi NCR,650000.0
9612,Mahindra,XUV500,W5,2019,"42,000 kms",Diesel,First Owner,SUV,Delhi NCR,1250000.0
9613,Land,Rover Range Rover Sport,HSE,2014,"60,000 kms",Diesel,First Owner,SUV,Delhi NCR,5300000.0
9614,Audi,Q3,S Edition,2014,"89,000 kms",Diesel,First Owner,SUV,Delhi NCR,1590000.0
9615,BMW,X5,xDrive 30d,2015,"82,000 kms",Diesel,Second Owner,SUV,Delhi NCR,2990000.0
9616,Mitsubishi,Pajero,Sport 4X2 AT,2015,"70,000 kms",Diesel,Second Owner,SUV,Delhi NCR,1295000.0
9617,Mahindra,Ssangyong Rexton,RX7,2013,"1,15,000 kms",Diesel,First Owner,SUV,Delhi NCR,675000.0
9618,Hyundai,Creta,1.6 VTVT SX Plus,2017,"49,000 kms",Petrol,Second Owner,SUV,Delhi NCR,990000.0
9619,Mitsubishi,Outlander,2.4,2010,"81,000 kms",Petrol,First Owner,SUV,Delhi NCR,575000.0
9620,Maruti,Vitara Brezza,VDi AMT,2018,"40,000 kms",Diesel,First Owner,SUV,Delhi NCR,850000.0
9621,Hyundai,Creta,1.6 VTVT S,2016,"40,000 kms",Petrol,First Owner,SUV,Delhi NCR,835000.0
9622,Mahindra,XUV500,AT W10 1.99 mHawk,2017,"48,000 kms",Diesel,First Owner,SUV,Delhi NCR,1325000.0
9623,Honda,CR-V,2.4L 4WD AT AVN,2015,"55,002 kms",Petrol,Second Owner,SUV,Delhi NCR,1200000.0
9624,Mahindra,XUV500,W6 2WD,2013,"30,000 kms",Diesel,First Owner,SUV,Delhi NCR,635000.0
9625,BMW,X5,xDrive 30d,2013,"85,000 kms",Diesel,Second Owner,SUV,Delhi NCR,1590000.0
9626,Renault,Duster,85PS Diesel RxE,2015,"45,000 kms",Diesel,First Owner,SUV,Delhi NCR,480000.0
9627,Maruti,Vitara Brezza,VXI AT,2021,"1,800 kms",Petrol,First Owner,SUV,Delhi NCR,990000.0
9628,Mahindra,XUV500,W5 BSIV,2019,"9,000 kms",Diesel,First Owner,SUV,Delhi NCR,1375000.0
9629,Mahindra,XUV500,AT W6 1.99 mHawk,2017,"44,000 kms",Diesel,First Owner,SUV,Delhi NCR,1225000.0
9630,Mahindra,Scorpio,S5,2018,"51,000 kms",Diesel,First Owner,SUV,Delhi NCR,1150000.0
9631,Mahindra,Scorpio,S10 7 Seater,2016,"67,542 kms",Diesel,First Owner,SUV,Delhi NCR,1051000.0
9632,Tata,Nexon,1.2 Revotron XZ Plus,2018,"9,500 kms",Petrol,First Owner,SUV,Delhi NCR,811000.0
9633,Hyundai,Creta,1.6 VTVT SX Plus,2016,"37,000 kms",Petrol,First Owner,SUV,Delhi NCR,990000.0
9634,Renault,Duster,85PS Diesel RxL Optional with Nav,2015,"64,000 kms",Diesel,First Owner,SUV,Delhi NCR,511000.00000000006
9635,Renault,Duster,85PS Diesel RxL,2017,"59,000 kms",Diesel,First Owner,SUV,Delhi NCR,645000.0
9636,Maruti,Vitara Brezza,ZDi Plus,2017,"71,777 kms",Diesel,First Owner,SUV,Delhi NCR,825000.0
9637,Land,Rover Range Rover Sport,3.0 D HSE,2018,"20,000 kms",Diesel,First Owner,SUV,Delhi NCR,12900000.0
9638,Land,Rover Range Rover Evoque,2.2L Pure,2013,"54,000 kms",Diesel,Second Owner,SUV,Delhi NCR,2290000.0
9639,Mercedes-Benz,GL-Class,Grand Edition Luxury,2013,"52,000 kms",Diesel,Second Owner,SUV,Delhi NCR,3050000.0
9640,Mahindra,Thar,CRDe,2018,"40,000 kms",Diesel,Second Owner,SUV,Delhi NCR,800000.0
9641,Hyundai,Santa Fe,4WD AT,2016,"89,000 kms",Diesel,First Owner,SUV,Delhi NCR,1375000.0
9642,Ford,EcoSport,1.5 DV5 MT Titanium,2013,"55,000 kms",Diesel,First Owner,SUV,Delhi NCR,475000.0
9643,Audi,Q7,3.0 TDI Quattro Technology,2013,"25,000 kms",Diesel,Second Owner,Luxury,Delhi NCR,2450000.0
9644,Audi,A4,2.0 TFSI,2011,"70,000 kms",Petrol,Second Owner,Luxury,Delhi NCR,900000.0
9645,Mercedes-Benz,New C-Class,Progressive C 220d,2019,"5,400 kms",Diesel,First Owner,Luxury,Delhi NCR,4750000.0
9646,Mercedes-Benz,New C-Class,Progressive C 220d,2019,"5,400 kms",Diesel,First Owner,Luxury,Delhi NCR,4750000.0
9647,Audi,A3,35 TDI Technology,2019,"25,000 kms",Diesel,First Owner,Luxury,Delhi NCR,2900000.0
9648,Audi,A3,35 TDI Technology,2019,"25,000 kms",Diesel,First Owner,Luxury,Delhi NCR,2900000.0
9649,Mercedes-Benz,GLA Class,Urban Edition 200,2019,"5,000 kms",Petrol,First Owner,Luxury,Delhi NCR,3190000.0
9650,Audi,A6,2.0 TDI Technology,2014,"12,000 kms",Diesel,First Owner,Luxury,Delhi NCR,1750000.0
9651,Mercedes-Benz,New C-Class,C 220 CDI Style,2018,"28,500 kms",Diesel,First Owner,Luxury,Delhi NCR,3150000.0
9652,Porsche,Panamera,GTS,2015,"30,000 kms",Petrol,First Owner,Luxury,Delhi NCR,5690000.0
9653,Mercedes-Benz,E-Class,Exclusive E 200 BSIV,2020,"4,901 kms",Petrol,First Owner,Luxury,Delhi NCR,6350000.0
9654,Audi,A3,35 TFSI Premium Plus,2020,"28,800 kms",Petrol,First Owner,Luxury,Delhi NCR,2750000.0
9655,Land,Rover Discovery Sport,SD4 HSE Luxury 7S,2017,"34,200 kms",Diesel,First Owner,Luxury,Delhi NCR,3600000.0
9656,Mercedes-Benz,CLA,200 CGI Sport,2018,"21,000 kms",Petrol,First Owner,Luxury,Delhi NCR,2775000.0
9657,Mercedes-Benz,E-Class,E 220 CDI Avantgarde,2013,"51,000 kms",Diesel,First Owner,Luxury,Delhi NCR,1390000.0
9658,BMW,3 Series,320d Luxury Line,2017,"40,000 kms",Diesel,First Owner,Luxury,Delhi NCR,2701000.0
9659,BMW,3 Series,320d Luxury Line,2017,"47,000 kms",Diesel,First Owner,Luxury,Delhi NCR,2600000.0
9660,Audi,A3,35 TFSI Premium Plus,2019,"11,000 kms",Petrol,First Owner,Luxury,Delhi NCR,2725000.0
9661,BMW,5 Series,520d Sport Line,2018,"16,000 kms",Diesel,First Owner,Luxury,Delhi NCR,4150000.0
9662,BMW,X1,xDrive 20d xLine,2017,"28,000 kms",Diesel,First Owner,Luxury,Delhi NCR,2550000.0
9663,Audi,A4,35 TDI Technology Edition,2015,"30,000 kms",Diesel,First Owner,Luxury,Delhi NCR,1700000.0
9664,BMW,6 Series,640d Gran Coupe,2015,"29,000 kms",Diesel,First Owner,Luxury,Delhi NCR,3990000.0
9665,Mercedes-Benz,GLS,350d Grand Edition,2019,"24,000 kms",Diesel,First Owner,Luxury,Delhi NCR,8100000.0
9666,Mercedes-Benz,E-Class,Expression E 220d,2018,"30,000 kms",Diesel,First Owner,Luxury,Delhi NCR,4900000.0
9667,Mercedes-Benz,GLC,220d 4MATIC Style,2019,"22,000 kms",Diesel,First Owner,Luxury,Delhi NCR,4795000.0
9668,BMW,7 Series,730Ld,2015,"18,000 kms",Diesel,First Owner,Luxury,Delhi NCR,4400000.0
9669,Mercedes-Benz,GLS,350d Grand Edition,2019,"19,000 kms",Diesel,First Owner,Luxury,Delhi NCR,7600000.0
9670,Land,Rover Discovery Sport,Si4 HSE,2018,"22,000 kms",Petrol,First Owner,Luxury,Delhi NCR,4450000.0
9671,Mercedes-Benz,GLS,350d Grand Edition,2019,"9,000 kms",Diesel,First Owner,Luxury,Delhi NCR,8200000.0
9672,BMW,3 Series,320d Luxury Line Plus,2019,"8,000 kms",Diesel,First Owner,Luxury,Delhi NCR,4300000.0
9673,Mercedes-Benz,GLA Class,200 Sport,2019,"5,000 kms",Petrol,First Owner,Luxury,Delhi NCR,3200000.0
9674,Jaguar,XJ,3.0L Portfolio,2016,"33,000 kms",Diesel,First Owner,Luxury,Delhi NCR,4700000.0
9675,BMW,6 Series,GT 630i Luxury Line 2018-2021,2019,"18,000 kms",Petrol,First Owner,Luxury,Delhi NCR,5700000.0
9676,BMW,5 Series,520d M Sport,2017,"21,003 kms",Diesel,First Owner,Luxury,Delhi NCR,3350000.0
9677,Mercedes-Benz,New C-Class,C300 Cabriolet,2020,"15,000 kms",Petrol,First Owner,Luxury,Delhi NCR,6700000.0
9678,BMW,5 Series,520d Luxury Line,2016,"32,000 kms",Diesel,First Owner,Luxury,Delhi NCR,2800000.0
9679,Volvo,XC 90,D5 R-Design,2017,"70,000 kms",Diesel,First Owner,Luxury,Delhi NCR,4190000.0
9680,Mercedes-Benz,CLA,200 CGI Sport,2017,"21,000 kms",Petrol,First Owner,Luxury,Delhi NCR,2400000.0
9681,Audi,A4,30 TFSI Technology,2018,"43,000 kms",Petrol,Second Owner,Luxury,Delhi NCR,2750000.0
9682,Audi,A6,35 TDI,2016,"65,000 kms",Diesel,First Owner,Luxury,Delhi NCR,2390000.0
9683,BMW,X4,M Sport X xDrive20d,2019,"18,000 kms",Diesel,Second Owner,Luxury,Delhi NCR,5490000.0
9684,Land,Rover Discovery Sport,TD4 HSE 7S,2018,"11,000 kms",Diesel,First Owner,Luxury,Delhi NCR,4800000.0
9685,Audi,A6,2.0 TDI,2013,"76,000 kms",Diesel,Third Owner,Luxury,Delhi NCR,1100000.0
9686,Volvo,XC60,Inscription D5 BSIV,2018,"40,000 kms",Diesel,First Owner,Luxury,Delhi NCR,4650000.0
9687,BMW,X3,2.0d SAV,2012,"92,000 kms",Diesel,First Owner,Luxury,Delhi NCR,1190000.0
9688,BMW,5 Series,525d Sedan,2013,"96,000 kms",Diesel,First Owner,Luxury,Delhi NCR,1290000.0
9689,BMW,3 Series,320d Corporate Edition,2012,"25,000 kms",Diesel,Second Owner,Luxury,Delhi NCR,760000.0
9690,Land,Rover Discovery Sport,SD4 HSE Luxury 7S,2017,"33,800 kms",Diesel,First Owner,Luxury,Delhi NCR,3595000.0000000005
9691,BMW,X4,M Sport X xDrive20d,2019,"15,000 kms",Diesel,First Owner,Luxury,Delhi NCR,5300000.0
9692,Mercedes-Benz,New C-Class,C 220 CDI CLASSIC,2012,"64,000 kms",Diesel,First Owner,Luxury,Delhi NCR,874000.0
9693,BMW,5 Series,530d M Sport,2019,"20,001 kms",Diesel,First Owner,Luxury,Delhi NCR,5600000.0
9694,Audi,A4,2.0 TDI 177 Bhp Premium Plus,2014,"81,000 kms",Diesel,First Owner,Luxury,Delhi NCR,1345000.0
9695,Land,Rover Range Rover Sport,3.0 D HSE,2018,"32,000 kms",Diesel,First Owner,Luxury,Delhi NCR,8700000.0
9696,Land,Rover Freelander 2,HSE SD4,2013,"69,000 kms",Diesel,Third Owner,Luxury,Delhi NCR,1025000.0
9697,BMW,3 Series,320d Luxury Line,2017,"23,000 kms",Diesel,First Owner,Luxury,Delhi NCR,2545000.0
9698,Mercedes-Benz,GLS,350d Grand Edition,2020,"4,800 kms",Diesel,First Owner,Luxury,Delhi NCR,8150000.0
9699,Jaguar,XE,2.0L Diesel Prestige,2018,"9,800 kms",Diesel,First Owner,Luxury,Delhi NCR,3250000.0
9700,Audi,Q3,35 TDI Quattro Premium Plus,2017,"35,000 kms",Diesel,First Owner,Luxury,Delhi NCR,2575000.0
9701,Audi,A4,2.0 TDI 177 Bhp Technology Edition,2015,"45,000 kms",Diesel,First Owner,Luxury,Delhi NCR,1650000.0
9702,Audi,S5,3.0 TFSIq Tiptronic,2020,"1,001 kms",Petrol,First Owner,Luxury,Delhi NCR,7750000.0
9703,Land,Rover Range Rover,LWB 4.4 SDV8 Vogue SE,2017,"25,000 kms",Diesel,Second Owner,Luxury,Delhi NCR,15000000.0
9704,Jaguar,XJ,3.0L Portfolio LWB,2015,"58,000 kms",Diesel,Second Owner,Luxury,Delhi NCR,3800000.0
9705,Mercedes-Benz,CLA,200 CDI Sport,2017,"60,000 kms",Diesel,First Owner,Luxury,Delhi NCR,2425000.0
9706,Mercedes-Benz,GLA Class,200 Sport,2018,"32,000 kms",Petrol,First Owner,Luxury,Delhi NCR,2700000.0
9707,BMW,X3,xDrive20d xLine,2018,"20,000 kms",Diesel,First Owner,Luxury,Delhi NCR,5150000.0
9708,BMW,5 Series,520d Luxury Line,2017,"30,000 kms",Diesel,First Owner,Luxury,Delhi NCR,4000000.0
9709,BMW,X5,xDrive 30d xLine,2020,"28,000 kms",Diesel,First Owner,Luxury,Delhi NCR,8000000.0
9710,Audi,A6,2.0 TDI Premium Plus,2013,"55,000 kms",Diesel,First Owner,Luxury,Delhi NCR,1350000.0
9711,BMW,5 Series,520d Sport Line,2017,"25,000 kms",Diesel,First Owner,Luxury,Delhi NCR,3850000.0
9712,Jaguar,XF,2.2 Litre Luxury,2015,"54,000 kms",Diesel,First Owner,Luxury,Delhi NCR,2350000.0
9713,Audi,A6,2.0 TDI Premium Plus,2014,"51,000 kms",Diesel,First Owner,Luxury,Delhi NCR,1725000.0
9714,Audi,Q5,2.0 TDI Technology,2014,"37,000 kms",Diesel,Second Owner,Luxury,Delhi NCR,1775000.0
9715,Audi,A4,2.0 TDI 177 Bhp Premium Plus,2014,"78,000 kms",Diesel,First Owner,Luxury,Delhi NCR,1450000.0
9716,Audi,Q3,30 TFSI Premium FWD,2017,"44,600 kms",Petrol,First Owner,Luxury,Delhi NCR,2400000.0
9717,Mercedes-Benz,CLA,Urban Sport 200d,2019,"27,000 kms",Diesel,First Owner,Luxury,Delhi NCR,2850000.0
9718,BMW,5 Series,520d Luxury Line,2013,"89,000 kms",Diesel,First Owner,Luxury,Delhi NCR,1300000.0
9719,Mercedes-Benz,E-Class,Exclusive E 220d,2018,"33,000 kms",Diesel,First Owner,Luxury,Delhi NCR,4400000.0
9720,BMW,7 Series,730Ld,2015,"64,000 kms",Diesel,Second Owner,Luxury,Delhi NCR,3450000.0
9721,Audi,Q7,3.0 TDI Quattro Premium Plus,2015,"61,000 kms",Diesel,First Owner,Luxury,Delhi NCR,2790000.0
9722,BMW,5 Series,530i Sport Line,2018,"14,000 kms",Petrol,First Owner,Luxury,Delhi NCR,4450000.0
9723,Mercedes-Benz,GL-Class,350 CDI Blue Efficiency,2016,"1,10,000 kms",Diesel,First Owner,Luxury,Delhi NCR,3920000.0000000005
9724,Audi,A3,35 TDI Technology,2015,"78,000 kms",Diesel,First Owner,Luxury,Delhi NCR,1490000.0
9725,Mercedes-Benz,CLA,200 CDI Sport,2018,"39,000 kms",Diesel,First Owner,Luxury,Delhi NCR,2700000.0
9726,Mercedes-Benz,GLA Class,200,2015,"14,000 kms",Petrol,First Owner,Luxury,Delhi NCR,1889999.9999999998
9727,Audi,A4,2.0 TDI 177 Bhp Technology Edition,2015,"32,000 kms",Diesel,First Owner,Luxury,Delhi NCR,1700000.0
9728,BMW,X5,xDrive35i Design Pure Exp 5S,2018,"40,000 kms",Petrol,First Owner,Luxury,Delhi NCR,5000000.0
9729,Volvo,XC 90,D5 Momentum,2017,"53,000 kms",Diesel,First Owner,Luxury,Delhi NCR,5100000.0
9730,Mercedes-Benz,GLC,220d 4MATIC Style,2018,"22,000 kms",Diesel,First Owner,Luxury,Delhi NCR,4200000.0
9731,Land,Rover Discovery Sport,TD4 HSE,2016,"93,000 kms",Diesel,First Owner,Luxury,Delhi NCR,2750000.0
9732,Jaguar,XJ,2.0L Portfolio LWB,2015,"65,000 kms",Petrol,First Owner,Luxury,Delhi NCR,3850000.0
9733,Jaguar,XJ,3.0L Premium Luxury LWB,2015,"60,000 kms",Diesel,Second Owner,Luxury,Delhi NCR,3790000.0
9734,Jaguar,XJ,2.0L Portfolio,2017,"49,000 kms",Petrol,First Owner,Luxury,Delhi NCR,4755000.0
9735,Audi,A3,35 TDI Premium Plus,2016,"45,000 kms",Diesel,Second Owner,Luxury,Delhi NCR,1775000.0
9736,BMW,3 Series,320d Luxury Line,2017,"47,000 kms",Diesel,First Owner,Luxury,Delhi NCR,2500000.0
9737,BMW,X3,xDrive20d xLine,2014,"55,000 kms",Diesel,Second Owner,Luxury,Delhi NCR,1590000.0
9738,Mercedes-Benz,S-Class,S 350d Connoisseurs Edition,2018,"38,000 kms",Diesel,First Owner,Luxury,Delhi NCR,9500000.0
9739,Audi,Q5,35TDI Technology,2018,"25,000 kms",Diesel,First Owner,Luxury,Delhi NCR,4500000.0
9740,BMW,7 Series,730Ld,2012,"65,000 kms",Diesel,Third Owner,Luxury,Delhi NCR,1850000.0
9741,Mercedes-Benz,New C-Class,C 220 CDI Avantgarde,2020,"5,002 kms",Diesel,First Owner,Luxury,Delhi NCR,4500000.0
9742,BMW,3 Series GT,Luxury Line,2016,"51,000 kms",Diesel,Second Owner,Luxury,Delhi NCR,2300000.0
9743,Mercedes-Benz,E-Class,E250 CDI Avantgrade,2015,"56,000 kms",Diesel,Second Owner,Luxury,Delhi NCR,1950000.0
9744,BMW,5 Series,520d Luxury Line,2018,"38,000 kms",Diesel,First Owner,Luxury,Delhi NCR,4175000.0
9745,Mercedes-Benz,CLA,200 CDI Sport,2017,"50,000 kms",Diesel,Second Owner,Luxury,Delhi NCR,2350000.0
9746,Audi,Q7,35 TDI Quattro Premium Plus,2015,"61,000 kms",Diesel,First Owner,Luxury,Delhi NCR,2790000.0
9747,BMW,5 Series,520d Luxury Line,2018,"65,000 kms",Diesel,First Owner,Luxury,Delhi NCR,3890000.0
9748,Land,Rover Discovery Sport,TD4 HSE 7S,2018,"47,000 kms",Diesel,First Owner,Luxury,Delhi NCR,3790000.0
9749,BMW,5 Series,520d Luxury Line,2018,"42,000 kms",Diesel,First Owner,Luxury,Delhi NCR,4075000.0
9750,BMW,X6,Xdrive40i M Sport,2020,"15,000 kms",Petrol,First Owner,Luxury,Delhi NCR,11000000.0
9751,BMW,X3,xDrive 20d Luxury Line,2019,"25,000 kms",Diesel,First Owner,Luxury,Delhi NCR,5300000.0
9752,Audi,Q3,35 TDI Quattro Premium Plus,2015,"27,000 kms",Diesel,First Owner,Luxury,Delhi NCR,2000000.0
9753,Mercedes-Benz,New C-Class,C 250 CDI Avantgarde,2012,"68,000 kms",Diesel,First Owner,Luxury,Delhi NCR,1090000.0
9754,BMW,7 Series,750Li,2014,"35,000 kms",Petrol,Second Owner,Luxury,Delhi NCR,3800000.0
9755,Mercedes-Benz,New C-Class,C 220 CDI Grand Edition,2014,"72,000 kms",Diesel,First Owner,Luxury,Delhi NCR,1350000.0
9756,Audi,A4,2.0 TDI 177 Bhp Premium Plus,2013,"80,000 kms",Diesel,Second Owner,Luxury,Delhi NCR,1100000.0
9757,Mercedes-Benz,E-Class,E250 CDI Blue Efficiency,2012,"86,500 kms",Diesel,First Owner,Luxury,Delhi NCR,1050000.0
9758,Audi,A4,30 TFSI Technology,2019,"30,000 kms",Petrol,First Owner,Luxury,Delhi NCR,3150000.0
9759,Volvo,XC60,Inscription D5,2017,"70,000 kms",Diesel,First Owner,Luxury,Delhi NCR,3450000.0
9760,Jaguar,XJ,3.0L Premium Luxury,2016,"8,500 kms",Diesel,First Owner,Luxury,Delhi NCR,5500000.0
9761,Mercedes-Benz,GLE Class,43 AMG Coupe,2019,"19,000 kms",Petrol,First Owner,Luxury,Delhi NCR,7700000.0
9762,Audi,A3,35 TDI Technology,2019,"23,000 kms",Diesel,First Owner,Luxury,Delhi NCR,2650000.0
9763,Audi,A4,30 TFSI Premium Plus,2018,"27,000 kms",Petrol,First Owner,Luxury,Delhi NCR,2850000.0
9764,Mercedes-Benz,GLC,Progressive 220d,2018,"65,000 kms",Diesel,First Owner,Luxury,Delhi NCR,3600000.0
9765,Mercedes-Benz,GLA Class,200 Sport Edition,2016,"7,000 kms",Petrol,First Owner,Luxury,Delhi NCR,2400000.0
9766,Jaguar,XJ,3.0L Premium Luxury,2016,"6,500 kms",Diesel,First Owner,Luxury,Delhi NCR,5500000.0
9767,Volvo,XC 90,D5 Inscription BSIV,2017,"80,600 kms",Diesel,First Owner,Luxury,Delhi NCR,4780000.0
9768,Mercedes-Benz,E-Class,Expression E 200 BSIV,2017,"17,600 kms",Petrol,First Owner,Luxury,Delhi NCR,4300000.0
9769,Mercedes-Benz,CLA,200 CGI,2016,"38,000 kms",Petrol,First Owner,Luxury,Delhi NCR,2250000.0
9770,BMW,X1,xDrive 20d M Sport,2019,"26,100 kms",Diesel,First Owner,Luxury,Delhi NCR,3400000.0
9771,Mercedes-Benz,E-Class,E 220 CDI Avantgarde,2012,"38,000 kms",Diesel,Third Owner,Luxury,Delhi NCR,1050000.0
9772,Mercedes-Benz,CLA,200 CDI Sport,2018,"40,560 kms",Diesel,First Owner,Luxury,Delhi NCR,2700000.0
9773,Jaguar,XF,2.0 Litre Petrol,2019,"10,800 kms",Petrol,First Owner,Luxury,Delhi NCR,4100000.0
9774,Mercedes-Benz,New C-Class,C 200 Kompressor Elegance MT,2008,"65,000 kms",Petrol,First Owner,Luxury,Delhi NCR,450000.0
9775,Mercedes-Benz,SLK-Class,SLK 350,2016,"15,000 kms",Petrol,Second Owner,Luxury,Delhi NCR,4200000.0
9776,BMW,5 Series,520d Luxury Line,2013,"56,000 kms",Diesel,First Owner,Luxury,Delhi NCR,1475000.0
9777,Mercedes-Benz,E-Class,Expression E 220d,2019,"22,000 kms",Diesel,First Owner,Luxury,Delhi NCR,5275000.0
9778,BMW,5 Series,530d M Sport,2017,"68,000 kms",Diesel,First Owner,Luxury,Delhi NCR,3300000.0
9779,Mercedes-Benz,B Class,B180 CDI,2014,"28,000 kms",Diesel,Second Owner,Luxury,Delhi NCR,1285000.0
9780,Mercedes-Benz,GLC,220d 4MATIC,2018,"40,000 kms",Diesel,First Owner,Luxury,Delhi NCR,4300000.0
9781,Audi,A3,35 TDI Technology,2019,"25,000 kms",Diesel,First Owner,Minivan,Delhi NCR,2900000.0
9782,BMW,7 Series,730Ld,2015,"18,000 kms",Diesel,First Owner,Minivan,Delhi NCR,4400000.0
9783,BMW,7 Series,730Ld,2015,"32,000 kms",Diesel,First Owner,Minivan,Delhi NCR,4400000.0
9784,BMW,5 Series,520d Luxury Line,2018,"77,000 kms",Diesel,First Owner,Minivan,Delhi NCR,3999000.0
9785,BMW,7 Series,730Ld DPE Signature,2019,"26,000 kms",Diesel,First Owner,Minivan,Delhi NCR,9699000.0
9786,Maruti,Eeco,5 Seater AC BSIV,2017,"15,000 kms",Petrol,First Owner,Minivan,Delhi NCR,340000.0
9787,Maruti,Omni,E MPI STD,2016,"21,000 kms",Petrol,First Owner,Minivan,Delhi NCR,235000.0
9788,Maruti,Eeco,CNG HTR 5-STR,2013,"74,000 kms",CNG,First Owner,Minivan,Delhi NCR,235000.0
9789,Maruti,Eeco,7 Seater Standard BSIV,2017,"30,000 kms",Petrol,First Owner,Minivan,Delhi NCR,400000.0
9790,Maruti,Eeco,5 STR With AC Plus HTR CNG,2020,"27,413 kms",CNG,First Owner,Minivan,Delhi NCR,486000.00000000006
9791,Maruti,Eeco,5 STR With AC Plus HTR CNG,2016,"75,000 kms",CNG,First Owner,Minivan,Delhi NCR,289000.0
9792,Maruti,Eeco,CNG 5 Seater AC BSIV,2017,"71,000 kms",CNG,First Owner,Minivan,Delhi NCR,350000.0
9793,Maruti,Eeco,5 Seater AC BSIV,2017,"4,673 kms",Petrol,First Owner,Minivan,Delhi NCR,314000.0
9794,Maruti,Eeco,CNG 5 Seater AC,2019,"32,809 kms",CNG,First Owner,Minivan,Delhi NCR,395000.0
9795,Maruti,Eeco,5 STR With AC Plus HTR CNG,2016,"65,000 kms",CNG,First Owner,Minivan,Delhi NCR,250000.0
9796,Maruti,Eeco,5 STR With AC Plus HTR CNG,2015,"59,000 kms",CNG,First Owner,Minivan,Delhi NCR,250000.0
9797,Maruti,Eeco,5 STR With AC Plus HTR CNG,2016,"65,000 kms",CNG,First Owner,Minivan,Delhi NCR,275000.0
9798,Maruti,Eeco,CNG 5 Seater AC,2013,"60,400 kms",CNG,First Owner,Minivan,Delhi NCR,210000.0
9799,Audi,Q7,3.0 TDI Quattro Technology,2013,"25,000 kms",Diesel,Second Owner,Coupe,Delhi NCR,2450000.0
9800,Audi,A4,2.0 TFSI,2011,"70,000 kms",Petrol,Second Owner,Coupe,Delhi NCR,900000.0
9801,Mercedes-Benz,New C-Class,Progressive C 220d,2019,"5,400 kms",Diesel,First Owner,Coupe,Delhi NCR,4750000.0
9802,Audi,A3,35 TDI Technology,2019,"25,000 kms",Diesel,First Owner,Coupe,Delhi NCR,2900000.0
9803,BMW,6 Series,640d Gran Coupe,2015,"29,000 kms",Diesel,First Owner,Coupe,Delhi NCR,3990000.0
9804,Mercedes-Benz,GLC Coupe,300d 4MATIC,2020,"3,000 kms",Diesel,First Owner,Coupe,Delhi NCR,6200000.0
9805,Mercedes-Benz,GLC Coupe,43 AMG 4MATIC,2020,"16,000 kms",Petrol,First Owner,Coupe,Delhi NCR,6500000.0
9806,Mercedes-Benz,New C-Class,Coupe C43 AMG,2017,"4,490 kms",Petrol,First Owner,Coupe,Delhi NCR,5500000.0
9807,Ford,Mustang,V8,2017,"19,000 kms",Petrol,First Owner,Coupe,Delhi NCR,5250000.0
9808,DC,Avanti,310 Special Edition,2015,"4,000 kms",Petrol,First Owner,Coupe,Delhi NCR,1552000.0
9809,Porsche,Cayman,S Tiptronic,2007,"35,000 kms",Petrol,First Owner,Coupe,Delhi NCR,2675000.0
9810,BMW,6 Series,640d Gran Coupe,2015,"27,000 kms",Diesel,First Owner,Coupe,Delhi NCR,4600000.0
9811,BMW,Z4,Coupe 3.0si,2012,"28,000 kms",Petrol,Second Owner,Coupe,Delhi NCR,3500000.0
9812,BMW,6 Series,640d Coupe,2012,"50,000 kms",Diesel,Second Owner,Coupe,Delhi NCR,3290000.0
9813,Audi,TT,45 TFSI,2015,"22,171 kms",Petrol,First Owner,Coupe,Delhi NCR,4500000.0
9814,Mercedes-Benz,E-Class,E350 Coupe,2009,"65,000 kms",Petrol,Third Owner,Coupe,Delhi NCR,940000.0
